id;loan_time;return_time_expected;real_return_time
1;2025-06-09T11:22:04;2025-06-09T01:02:46;2025-06-09T09:58:04
2;2025-06-09T07:23:11;2025-06-09T14:26:29;2025-06-09T15:46:35
3;2025-06-09T15:17:36;2025-06-09T01:56:20;2025-06-09T06:09:31
4;2025-06-09T02:02:39;2025-06-09T19:30:10;2025-06-09T07:43:37
5;2025-06-09T09:57:31;2025-06-09T20:10:35;2025-06-09T04:20:31
6;2025-06-09T08:32:15;2025-06-09T15:34:32;2025-06-09T10:51:13
7;2025-06-09T18:12:40;2025-06-09T10:57:43;2025-06-09T00:49:41
8;2025-06-08T21:05:55;2025-06-09T13:26:19;2025-06-09T14:04:38
9;2025-06-09T03:49:07;2025-06-09T02:45:17;2025-06-09T18:02:24
10;2025-06-09T04:40:55;2025-06-09T04:33:53;2025-06-08T22:42:59
